GEOID,NAME,estimate_2011-2015,estimate_2016-2020,moe_2011-2015,moe_2016-2020,change,se_1,se_2,se_diff,moe_diff,z,significant,geometry
06075012100,"Census Tract 121, San Francisco County, California",71466,104544,14828,14953,33078,9013.981762917932,9089.969604863221,12801.539541772088,21058.532546215087,2.5839079660742965,TRUE,"list(list(c(-122.415372, -122.412076, -122.408786, -122.408402, -122.411699, -122.413354, -122.414995, -122.415185, -122.415372, 37.78932, 37.78974, 37.79016, 37.788293, 37.787872, 37.787664, 37.787454, 37.788388, 37.78932)))"
06075012202,"Census Tract 122.02, San Francisco County, California",54412,86376,14213,30373,31964,8640.121580547113,18463.82978723404,20385.40437024949,33533.99018906041,1.5679845942447108,FALSE,"list(list(c(-122.421461, -122.418271, -122.417901, -122.417707, -122.421069, -122.421256, -122.421461, 37.786632, 37.787038, 37.785167, 37.784236, 37.783816, 37.784745, 37.786632)))"
06075012301,"Census Tract 123.01, San Francisco County, California",23216,46000,4172,12815,22784,2536.1702127659573,7790.273556231003,8192.711482106113,13477.010388064557,2.7810084670701576,TRUE,"list(list(c(-122.414617, -122.41297, -122.411326, -122.411516, -122.408227, -122.407853, -122.41114, -122.412782, -122.41443, -122.414617, 37.785582, 37.78579, 37.785996, 37.78694, 37.787359, 37.785492, 37.785075, 37.784866, 37.784657, 37.785582)))"
06075012302,"Census Tract 123.02, San Francisco County, California",54330,65384,9888,9009,11054,6010.942249240122,5476.595744680851,8131.698941448601,13376.644758682949,1.359371526121799,FALSE,"list(list(c(-122.414995, -122.413354, -122.411699, -122.408402, -122.408227, -122.411516, -122.411326, -122.41297, -122.414617, -122.414995, 37.787454, 37.787664, 37.787872, 37.788293, 37.787359, 37.78694, 37.785996, 37.78579, 37.785582, 37.787454)))"
06075012502,"Census Tract 125.02, San Francisco County, California",21468,36959,4476,7286,15491,2720.9726443768996,4429.179331306991,5198.203697463621,8551.045082327657,2.980067904526054,TRUE,"list(list(c(-122.41443, -122.412782, -122.41114, -122.410952, -122.410765, -122.414054, -122.414242, -122.41443, 37.784657, 37.784866, 37.785075, 37.784141, 37.783214, 37.782794, 37.783724, 37.784657)))"
06075012601,"Census Tract 126.01, San Francisco County, California",140503,212473,16528,23490,71970,10047.41641337386,14279.635258358663,17460.199302857178,28722.02785320006,4.121946075851658,TRUE,"list(list(c(-122.441905, -122.437138, -122.436799, -122.436274, -122.441177, -122.441368, -122.441754, -122.441905, 37.803744, 37.804352, 37.802715, 37.800814, 37.80019, 37.801126, 37.802985, 37.803744)))"
06075012602,"Census Tract 126.02, San Francisco County, California",163964,253369,19841,41744,89405,12061.398176291794,25376.29179331307,28096.859453441113,46219.33380091063,3.1820282315947694,TRUE,"list(list(c(-122.441883, -122.439690935158, -122.425942, -122.425041162157, -122.424876, -122.426671, -122.426613, -122.426257, -122.425628, -122.425209, -122.430045, -122.431679, -122.436799, -122.437138, -122.441905, -122.441883, 37.80731, 37.8086811541357, 37.810979, 37.811001508766, 37.810799, 37.809639, 37.808152, 37.807185, 37.806456, 37.804133, 37.803518, 37.803267, 37.802715, 37.804352, 37.803744, 37.80731)))"
06075012700,"Census Tract 127, San Francisco County, California",147886,259448,23084,80487,111562,14032.826747720364,48928.26747720365,50900.84070869871,83731.88296580939,2.1917516183762085,TRUE,"list(list(c(-122.448241, -122.448241130218, -122.439690935158, -122.441883, -122.441905, -122.441754, -122.441368, -122.441177, -122.447466, -122.44782, -122.44946, -122.448241, 37.804478, 37.8072521685356, 37.8086811541357, 37.80731, 37.803744, 37.802985, 37.801126, 37.80019, 37.79939, 37.801633, 37.802454, 37.804478)))"
06075012901,"Census Tract 129.01, San Francisco County, California",166463,231259,19543,29135,64796,11880.243161094224,17711.246200607904,21326.706720571605,35082.43255534029,3.038256250670817,TRUE,"list(list(c(-122.430045, -122.425209, -122.424835, -122.424464, -122.42929, -122.429667, -122.430045, 37.803518, 37.804133, 37.802268, 37.800402, 37.799788, 37.801654, 37.803518)))"
06075012902,"Census Tract 129.02, San Francisco County, California",130766,184801,16038,26487,54035,9749.544072948329,16101.519756838905,18823.191762032162,30964.150448542907,2.87066086788707,TRUE,"list(list(c(-122.436799, -122.431679, -122.430045, -122.429667, -122.42929, -122.424464, -122.424275, -122.427457, -122.430747, -122.432393, -122.434036, -122.435678, -122.436274, -122.436799, 37.802715, 37.803267, 37.803518, 37.801654, 37.799788, 37.800402, 37.799472, 37.799067, 37.798648, 37.798439, 37.79823, 37.798021, 37.800814, 37.802715)))"
